iter	Passed	Remaining
1630	5263	1190
1631	5265	1187
1632	5268	1184
1633	5271	1180
1634	5274	1177
1635	5277	1174
1636	5279	1170
1637	5282	1167
1638	5285	1164
1639	5288	1160
1640	5291	1157
1641	5295	1154
1642	5298	1151
1643	5301	1147
1644	5303	1144
1645	5309	1141
1646	5311	1138
1647	5314	1135
1648	5317	1131
1649	5320	1128
1650	5323	1125
1651	5326	1122
1652	5329	1118
1653	5332	1115
1654	5335	1112
1655	5337	1108
1656	5341	1105
1657	5345	1102
1658	5349	1099
1659	5352	1096
1660	5355	1093
1661	5361	1090
1662	5364	1087
1663	5369	1084
1664	5372	1080
1665	5375	1077
1666	5378	1074
1667	5381	1071
1668	5384	1067
1669	5387	1064
1670	5390	1061
1671	5394	1058
1672	5397	1055
1673	5400	1051
1674	5403	1048
1675	5406	1045
1676	5410	1042
1677	5412	1038
1678	5416	1035
1679	5419	1032
1680	5422	1028
1681	5425	1025
1682	5428	1022
1683	5432	1019
1684	5435	1016
1685	5438	1012
1686	5441	1009
1687	5444	1006
1688	5447	1003
1689	5450	999
1690	5453	996
1691	5456	993
1692	5459	989
1693	5462	986
1694	5465	983
1695	5467	980
1696	5470	976
